State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
CA | 95001 95003 
NY | 13020 
MD | 20608 
PA | 18012 
NY | 11931 
TX | 76622 
AL | 35016 
GA | 31712 
LA | 70032 
NM | 87820 
GA | 30104 
TX | 78336 78335 
OK | 73620 
CO | 80802 
NC | 28510 
WY | 82510 
NE | 68922 
NC | 27007 
VA | 24053 
MO | 63432 
CO | 81121 
ID | 83212 
WV | 24915 
CA | 95912 
MO | 63821 
NY | 14009 
IA | 51430 
FL | 34269 
LA | 71001 
PA | 15712 
IN | 46030 
OH | 44804 
OK | 73007 
KS | 66711 
SC | 29320 
MO | 63621 
CA | 91077 91066 91007 91006 
MI | 49613 
FL | 34265 34266 
NE | 68815 
WI | 54612 
OH | 45304 
CA | 95518 95521 
OR | 97102 
PA | 18403 
OH | 43502 
FL | 32618 
NE | 68816 
IA | 51231 
TX | 76351 
LA | 71218 
MO | 64725 
ID | 83213 
MN | 56113 
MS | 38722 
MO | 65603 
IL | 61910 
IN | 46704 
AK | 99722 
PA | 15615 
NC | 28704 
NY | 10910 
WA | 98811 
OK | 73403 
PA | 19003 
AL | 35739 
TN | 38449 
OK | 73401 73402 
NY | 10502 10503 
IA | 50605 
WI | 53503 
NM | 88022 
PA | 17303 
IL | 62611 62501 
KY | 41121 
KS | 67004 
WI | 54511 
IN | 46501 
ND | 58005 
NY | 12809 
WI | 53504 
IA | 52619 
MN | 56713 
MO | 65001 
TX | 76226 
GA | 31623 
MI | 48410 
FL | 32422 
WA | 98603 
ID | 83214 
IA | 51520 
FL | 34679 
IA | 50831 
PA | 17920 
AL | 36311 
AZ | 85601 85123 
KY | 40902 
VA | 23003 
MS | 38602 
AR | 71923 71998 71999 71630 
KS | 67005 
WI | 54721 54613 
OK | 74901 
NY | 14807 12406 
MT | 59821 
AL | 35541 
GA | 39813 
AL | 36722 
AZ | 85322 
CO | 81021 
SD | 57212 
VT | 5250 
TX | 76006 
IA | 50606 
MN | 55307 
IN | 46104 
OH | 45814 
TX | 76096 76094 76019 76018 76017 76016 76015 76014 
WI | 53911 
TX | 76013 76012 76011 76010 76007 76005 76004 76003 76002 76001 
MA | 2474 
VA | 22243 
KY | 42021 
VA | 22210 22246 
KS | 67514 
VA | 22209 22245 22207 22206 
TN | 38002 
OR | 97812 
VA | 22205 22204 22203 22202 22201 
MA | 2476 
VA | 22244 22217 22226 22225 
NE | 68002 
VA | 22219 22227 
WA | 98223 
VA | 22242 22216 22215 22230 22240 22241 
IL | 61312 
VA | 22214 22213 22212 
MA | 2475 
IL | 60006 60005 60004 
KS | 66712 
MI | 48005 
PA | 15920 15616 
IL | 61721 
WY | 82630 
CA | 93202 
NY | 10504 
AR | 72310 
SD | 57313 
IL | 61812 
TX | 78338 
MO | 65230 
IA | 50514 
WI | 54103 
GA | 30105 
LA | 70512 
ND | 58835 
WV | 25007 
OK | 73832 
MD | 21012 
MI | 49819 
CA | 95223 
NE | 69120 
KS | 67515 
MO | 63010 
TN | 37389 
IA | 51331 
WV | 25234 
GA | 30619 
PA | 16911 
OR | 97902 
VA | 22709 
IL | 60910 
CA | 95004 
PA | 15617 
TX | 75750 
WI | 54410 
NM | 87930 
CO | 80804 
VA | 22922 
TN | 37014 
MO | 65320 
IL | 61722 
CA | 93420 93421 
NM | 87513 87514 
TX | 76820 
PA | 17211 
KY | 40903 
MS | 39736 
NM | 88211 88210 
CA | 90701 90702 
TX | 78001 
SD | 57314 
ND | 58006 
IA | 51431 
NE | 69121 
IL | 61911 
TN | 37707 
TX | 75411 
WV | 26520 25008 
CA | 95913 
CO | 80005 80001 80002 80003 80004 
WY | 82831 
CO | 80006 80007 
NY | 11692 
ND | 58214 
CA | 93203 
VA | 23004 
KY | 41712 
WV | 24916 
MO | 64832 
NJ | 8802 7712 
VT | 5030 
NC | 28420 
AR | 72513 
AZ | 86320 
MO | 65604 
RI | 2804 
MO | 63433 
GA | 31714 
VA | 20148 20149 20146 20147 
MA | 1430 1431 
NE | 69333 
MN | 56309 
KY | 41512 
AR | 71822 
NC | 27203 27204 27205 
KY | 40803 
OK | 74826 
TX | 78827 
NC | 28804 28805 28806 28810 28813 28803 28815 28802 28816 28801 28814 
MA | 1330 
PA | 18212 
AL | 36312 
WA | 98304 
CT | 6278 
WV | 25009 
WI | 53003 
IL | 60911 
MS | 38603 
LA | 71002 
NE | 68003 
ME | 4732 
